census_t_1,quarter,year.x,total,econ_crime,violent_crime,drug_crime,no_units,pop,crime_rate,stock_units,log_crime_rate,log_total,log_econ_crime,log_violent_crime,log_drug_crime,diff_log_crime_rate,q_year,time_index,treat_post,treat,treat_change,treat_index,treat_index_max,id
17031020600,3,2002,97,82,6,9,0,8824.4,9.22053231939164,0,2.22143277119382,4.57471097850338,4.40671924726425,1.79175946922806,2.19722457733622,0.0860746087712432,3/2002,15,0,0,0,0,0,17031020600
17031020600,4,2002,81,70,7,4,0,8824.4,7.69961977186312,0,2.04117094736288,4.39444915467244,4.24849524204936,1.94591014905531,1.38629436111989,-0.180261823830944,4/2002,16,0,0,0,0,0,17031020600
17031020600,1,2003,66,59,3,4,0,8824.4,6.27376425855513,0,1.83637653471686,4.18965474202643,4.07753744390572,1.09861228866811,1.38629436111989,-0.204794412646013,1/2003,17,0,0,0,0,0,17031020600
17031020600,2,2003,73,57,11,5,0,8824.4,6.93916349809886,0,1.93718123383883,4.29045944114839,4.04305126783455,2.39789527279837,1.6094379124341,0.100804699121965,2/2003,18,0,0,0,0,0,17031020600
17031020600,3,2003,81,71,4,6,0,8824.4,7.69961977186312,0,2.04117094736288,4.39444915467244,4.26267987704132,1.38629436111989,1.79175946922806,0.103989713524048,3/2003,19,0,0,0,0,0,17031020600
17031020600,4,2003,80,67,7,6,0,8824.4,7.60456273764259,0,2.02874842736432,4.38202663467388,4.20469261939097,1.94591014905531,1.79175946922806,-0.012422519998557,4/2003,20,0,0,0,0,0,17031020600
17031020600,1,2004,71,59,5,7,0,8824.4,6.7490494296578,0,1.90940166973175,4.26267987704132,4.07753744390572,1.6094379124341,1.94591014905531,-0.119346757632566,1/2004,21,0,0,0,0,0,17031020600
17031020600,2,2004,90,83,4,3,0,8824.4,8.55513307984791,0,2.1465314630207,4.49980967033027,4.4188406077966,1.38629436111989,1.09861228866811,0.23712979328895,2/2004,22,0,0,0,0,0,17031020600
17031020600,3,2004,101,92,3,6,0,8824.4,9.60076045627376,0,2.2618423095317,4.61512051684126,4.52178857704904,1.09861228866811,1.79175946922806,0.115310846510994,3/2004,23,0,0,0,0,0,17031020600
17031020600,4,2004,94,84,5,5,0,8824.4,8.93536121673004,0,2.19001657496044,4.54329478227,4.43081679884331,1.6094379124341,1.6094379124341,-0.0718257345712554,4/2004,24,0,0,0,0,0,17031020600
