monthofyear,year,tractce10,total,econ_crime,violent_crime,drug_crime
7,2008,550100,29,25,4,6
8,2008,550100,22,20,2,6
9,2008,550100,18,17,1,4
10,2008,550100,20,20,0,3
11,2008,550100,15,11,4,4
12,2008,550100,5,3,2,5
1,2009,550100,13,12,1,8
2,2009,550100,18,15,3,5
3,2009,550100,21,17,4,7
4,2009,550100,10,9,1,4
5,2009,550100,13,9,4,7
6,2009,550100,34,32,2,1
7,2009,550100,16,14,2,2
8,2009,550100,21,18,3,5
9,2009,550100,26,23,3,2
10,2009,550100,17,16,1,1
11,2009,550100,18,16,2,7
12,2009,550100,16,14,2,1
1,2010,550100,15,13,2,1
2,2010,550100,15,14,1,2
3,2010,550100,11,10,1,5
4,2010,550100,12,9,3,1
5,2010,550100,10,7,3,3
6,2010,550100,20,17,3,0
7,2010,550100,19,18,1,2
8,2010,550100,10,8,2,4
9,2010,550100,16,15,1,0
10,2010,550100,13,10,3,6
11,2010,550100,14,11,3,3
12,2010,550100,25,23,2,5
1,2011,550100,8,5,3,4
2,2011,550100,6,5,1,2
1,1999,550200,7,6,1,0
2,1999,550200,4,4,0,1
3,1999,550200,4,3,1,0
4,1999,550200,6,6,0,8
5,1999,550200,8,7,1,4
6,1999,550200,4,2,2,2
7,1999,550200,7,6,1,1
8,1999,550200,18,16,2,0
9,1999,550200,15,15,0,0
10,1999,550200,8,8,0,1
11,1999,550200,5,4,1,1
12,1999,550200,11,9,2,0
1,2000,550200,11,10,1,0
2,2000,550200,4,4,0,2
3,2000,550200,14,8,6,0
4,2000,550200,3,2,1,0
5,2000,550200,9,9,0,0
6,2000,550200,8,6,2,0
7,2000,550200,6,5,1,3
8,2000,550200,8,7,1,0
9,2000,550200,8,7,1,0
10,2000,550200,8,8,0,0
11,2000,550200,4,4,0,3
12,2000,550200,10,9,1,0
1,2001,550200,4,3,1,3
2,2001,550200,7,5,2,2
3,2001,550200,7,6,1,0
4,2001,550200,8,7,1,2
5,2001,550200,9,6,3,0
6,2001,550200,7,7,0,0
7,2001,550200,11,10,1,4
8,2001,550200,9,8,1,1
9,2001,550200,10,7,3,1
10,2001,550200,5,5,0,2
11,2001,550200,3,3,0,0
12,2001,550200,5,3,2,2
1,2002,550200,6,5,1,1
2,2002,550200,4,3,1,0
3,2002,550200,4,3,1,1
4,2002,550200,3,3,0,1
5,2002,550200,5,3,2,1
6,2002,550200,9,9,0,0
7,2002,550200,6,6,0,1
8,2002,550200,5,4,1,0
9,2002,550200,4,3,1,0
10,2002,550200,4,4,0,0
11,2002,550200,4,3,1,1
12,2002,550200,1,1,0,3
1,2003,550200,4,4,0,0
2,2003,550200,4,3,1,0
3,2003,550200,3,3,0,0
4,2003,550200,7,5,2,3
5,2003,550200,6,6,0,0
6,2003,550200,8,4,4,0
7,2003,550200,5,4,1,2
8,2003,550200,8,6,2,2
9,2003,550200,9,7,2,3
10,2003,550200,4,3,1,2
11,2003,550200,3,2,1,0
12,2003,550200,8,5,3,2
1,2004,550200,5,2,3,2
2,2004,550200,4,4,0,1
3,2004,550200,9,9,0,3
4,2004,550200,4,2,2,0
5,2004,550200,8,7,1,3
6,2004,550200,2,2,0,0
7,2004,550200,8,7,1,1
8,2004,550200,8,7,1,0
9,2004,550200,5,4,1,1
10,2004,550200,6,6,0,1
11,2004,550200,6,6,0,3
12,2004,550200,3,3,0,1
1,2005,550200,7,7,0,1
2,2005,550200,6,4,2,1
3,2005,550200,6,6,0,0
4,2005,550200,4,4,0,0
5,2005,550200,4,3,1,0
6,2005,550200,7,7,0,2
7,2005,550200,6,5,1,0
8,2005,550200,4,2,2,0
9,2005,550200,6,6,0,2
10,2005,550200,4,4,0,0
11,2005,550200,4,4,0,0
12,2005,550200,6,6,0,0
1,2006,550200,9,9,0,2
2,2006,550200,3,3,0,0
3,2006,550200,8,8,0,2
4,2006,550200,1,1,0,1
5,2006,550200,7,6,1,0
6,2006,550200,4,4,0,3
7,2006,550200,10,9,1,2
8,2006,550200,8,8,0,3
9,2006,550200,7,7,0,0
10,2006,550200,4,3,1,2
11,2006,550200,7,7,0,0
12,2006,550200,8,8,0,0
1,2007,550200,2,2,0,3
2,2007,550200,2,2,0,1
3,2007,550200,7,6,1,0
4,2007,550200,6,6,0,0
5,2007,550200,7,7,0,3
6,2007,550200,1,1,0,0
7,2007,550200,8,7,1,0
8,2007,550200,5,4,1,1
9,2007,550200,10,10,0,0
10,2007,550200,6,6,0,2
11,2007,550200,9,8,1,0
12,2007,550200,7,7,0,0
1,2008,550200,6,6,0,0
2,2008,550200,3,3,0,2
3,2008,550200,2,2,0,0
4,2008,550200,6,6,0,3
5,2008,550200,9,8,1,0
6,2008,550200,10,10,0,1
7,2008,550200,10,9,1,0
8,2008,550200,8,8,0,0
9,2008,550200,7,7,0,1
10,2008,550200,6,6,0,0
11,2008,550200,11,9,2,2
12,2008,550200,2,2,0,2
1,2009,550200,5,4,1,1
2,2009,550200,4,4,0,0
3,2009,550200,2,2,0,1
4,2009,550200,7,6,1,3
5,2009,550200,4,4,0,0
6,2009,550200,4,4,0,1
7,2009,550200,4,4,0,1
8,2009,550200,1,1,0,1
9,2009,550200,7,6,1,0
10,2009,550200,11,10,1,2
11,2009,550200,5,5,0,0
12,2009,550200,5,5,0,1
1,2010,550200,7,5,2,0
2,2010,550200,5,5,0,1
3,2010,550200,6,5,1,3
4,2010,550200,8,7,1,1
5,2010,550200,6,6,0,0
